pergunta,intencao,categoria,resposta
sobre a linha premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
detalhes da premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
me da detalhes da premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
informacao da premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
quero informacao sobre a premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
qual a diferenca da premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
diferenca entre premium e basica,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
premium ou basica,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
premium vs basica,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
premium e basica diferenca,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
por que a premium e mais cara,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
vale a pena a premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
a premium e melhor que a basica,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
qual a vantagem da premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
premium compensa,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
a premium e melhor,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
de que tecido e a premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
qual tecido da premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
premium e de algodao?,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
a premium e algodao pima?,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
composicao da premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
do que e feita a premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
premium e 100% algodao?,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
que material a premium usa,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
a premium e duravel,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
premium dura mais,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
a premium encolhe,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
a premium desbota,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
qualidade da premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
a premium e resistente,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
premium e macia,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
a premium tem boa gramatura,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
quais cores da premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
cores da camiseta premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
premium tem plus size,combinado_tamanho_em_produto,outro:combinado_tamanho_em_produto,"Grade plus size para camiseta premium: disponível. Grade plus_size: G1, G2, G3, G4"
tamanhos da premium,personalizacao_tamanhos,outro:personalizacao_tamanhos,"Sobre tamanhos, o que você precisa saber?   1. Escolha uma opção: Grade adulto   2. Grade infantil   3. Plus size   4. Tabela de medidas"
premium tem tamanho gg,combinado_tamanho_em_produto,outro:combinado_tamanho_em_produto,"Grade adulto para camiseta premium: disponível. Grade adulto: PP, P, M, G, GG, XGG"
a premium vem em preto,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
premium tem cor branca,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
premium infantil tem,combinado_tamanho_em_produto,outro:combinado_tamanho_em_produto,Grade infantil para camiseta premium: não disponível. Grade infantil não disponível para camiseta premium
quanto custa a premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
preco da premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
qual o valor da premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
quanto sai a camiseta premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
preco de 100 premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
quanto custa 50 camisetas premium,combinado_preco_qtd_produto,preco,Para 50 peças de camiseta premium: valor unitário estimado de R$ 56.9 (5% desconto de desconto). Total estimado: R$ 2845.00. Valor indicativo — fechamento com vendas.
prazo da premium,prazo_padrao,prazo,"Prazo padrão de produção: 15 a 30 dias úteis dependendo da complexidade e do volume. Peças básicas sem personalização ficam em 15 a 20 dias. Peças com modelagem específica ou personalização, 25 a 30 dias."
qual o prazo da camiseta premium,prazo_padrao,prazo,"Prazo padrão de produção: 15 a 30 dias úteis dependendo da complexidade e do volume. Peças básicas sem personalização ficam em 15 a 20 dias. Peças com modelagem específica ou personalização, 25 a 30 dias."
prazo de 100 premium,prazo_padrao,prazo,"Prazo padrão de produção: 15 a 30 dias úteis dependendo da complexidade e do volume. Peças básicas sem personalização ficam em 15 a 20 dias. Peças com modelagem específica ou personalização, 25 a 30 dias."
premium tem desconto,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
posso bordar na premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
da pra fazer silk na premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
premium aceita estampa,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
personalizar a premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
premium com bordado,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
quero uma camiseta premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
quero comprar premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
quero 100 camisetas premium,registrar_pedido,pedido,"Boa, anotei: 100x camiseta premium. Vou registrar seu pedido — só faltam alguns dados. Qual cor? (ex: preto, branco, marinho, vermelho...)"
vou querer premium,registrar_pedido,pedido,"Boa, anotei: camiseta premium. Vou registrar seu pedido — só faltam alguns dados. Quantas peças?"
quero fazer um pedido de premium,registrar_pedido,pedido,"Boa, anotei: camiseta premium. Vou registrar seu pedido — só faltam alguns dados. Quantas peças?"
quero 50 camisas premium bordadas,registrar_pedido,pedido,"Boa, anotei: 50x camiseta premium. Vou registrar seu pedido — só faltam alguns dados. Qual cor? (ex: preto, branco, marinho, vermelho...)"
premium serve pra uniforme,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
premium e boa pra revenda,revenda,outro:revenda,"Trabalhamos com revendedores. Condições: cadastro de CNPJ ativo, primeira compra mínima de 100 peças mistas, descontos progressivos a partir da segunda compra. Para fechamento de parceria, vou te encaminhar ao setor de vendas."
premium pra empresa,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
a premium e pra que tipo de uso,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
quando usar a premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
essa premium ai,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
fala da premium ai,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
premiun,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
camiseta premiun,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
quero saber da premim,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
a tal da premium,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
essa linha premium e boa?,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
premium eh melhor mesmo?,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
vale mais a pena premium ne,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
moletom premium,cat_moletons,outro:cat_moletons,"Linha de moletons: flanelado (inverno), peluciado (meia estação), com capuz, sem capuz, com zíper (jaqueta moletom). Também jaqueta corta-vento e jaqueta puffer. Gramaturas de 280g a 380g."
polo premium,cat_camisetas,catalogo_generico,"Linha de camisetas: básica (100% algodão, gola careca/V/polo), premium (algodão pima penteado), regata, baby look e oversized. Gramaturas de 140g a 220g. Todas as 12 cores em pronta entrega."
tem calca premium,cat_calcas,outro:cat_calcas,"Linha de calças: jeans (5 modelagens — skinny, reta, wide leg, mom, flare), alfaiataria, jogger, legging, calça moletom, bermuda esportiva e short jeans. Modelagens femininas, masculinas e unissex."
premium de moletom,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
e a premium?,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
e a versao premium?,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
tem a opcao premium?,produto_detalhe,OK_premium,"Camiseta Premium: Algodão pima penteado — toque mais macio, fio mais fino e maior durabilidade que a básica. (Categoria: Camisetas.)"
qual a mais top,elogios1,outro:elogios1,"Aaah, muito obrigada pelo elogio! Fico feliz em ajudar. Qualquer outra dúvida, é só chamar."
a mais cara qual e,despedida,outro:despedida,"Foi um prazer te ajudar! Qualquer coisa, é só voltar a falar comigo. Até mais!"
